,sents
9808,United steadied after the early Spurs onslaught only to fall victim to a clinical 11th-minute attack as Christian Eriksen was played in behind the advanced Ashley Young and crossed to set up Alli for the simplest of tap-ins
9809,"United settled again and hit back midway through the half as Paul Pogba outmuscled Mousa Dembele on the left wing, picked out Sanchez with an inch-perfect cross which evaded the Spurs centre-backs, and the Chilean headed home across the stationary Michel Vorm"
9810,Pogba's swerving effort worried Vorm in the Tottenham goal on 44 minutes seconds before Eric Dier's drive deflected cannoned off the base of the post
9811,"Ander Herrera was the unlikely United hero, firing a 62nd-minute winner after Alexis Sanchez cancelled out Dele Alli's opener in a pulsating first half"
9812,"United settled again and hit back midway through the half as Paul Pogba outmuscled Mousa Dembele on the left wing, picked out Sanchez with an inch-perfect cross which evaded the Spurs centre-backs, and the Chilean headed home across the stationary Michel Vorm"
9813,"United continued to ask the greater questions, though, and took the lead for the first time where Herrera arrived from nowhere to apply the finishing touch to a flowing counter involving Sanchez and Lukaku"
9814," Having hauled his struggling side level, Sanchez set the tone from there on in what was arguably his most influential performance in a United shirt yet"
9815,"United settled again and hit back midway through the half as Paul Pogba outmuscled Mousa Dembele on the left wing, picked out Sanchez with an inch-perfect cross which evaded the Spurs centre-backs, and the Chilean headed home across the stationary Michel Vorm"
9816,United steadied after the early Spurs onslaught only to fall victim to a clinical 11th-minute attack as Christian Eriksen was played in behind the advanced Ashley Young and crossed to set up Alli for the simplest of tap-ins
9817,United steadied after the early Spurs onslaught only to fall victim to a clinical 11th-minute attack as Christian Eriksen was played in behind the advanced Ashley Young and crossed to set up Alli for the simplest of tap-ins
9818,"Spurs scored inside the first minute of January's Premier League meeting with United and Harry Kane tried to repeat the feat in a blistering start, only to see a 20-yard shot deflect behind for a corner"
9819,"Such was the intensity of Spurs' pressure, United looked on the brink of capitulation, and Kane came within inches of doubling their lead on 14 minutes but he could not stretch enough to connect with Heung-Min Son's deep cross"
9820,"A loose piece of control from Eric Bailly allowed Lennon to arrow in an almost instant reply to prevent United's supporters getting carried away but after half-time United strengthened their grip on the contest, with early chances after the break seeing Ronaldo head wide and Hennessey save well from Mason Greenwood"
9821,"In between those stops, Bailly was forced off with an injury which will worry Ivory Coast supporters ahead of the Africa Cup of Nations, and there were a couple of half-chances for Burnley late on, but it was an otherwise satisfactory night for United and Rangnick to end the year on"
9822,"A loose piece of control from Eric Bailly allowed Lennon to arrow in an almost instant reply to prevent United's supporters getting carried away but after half-time United strengthened their grip on the contest, with early chances after the break seeing Ronaldo head wide and Hennessey save well from Mason Greenwood"
9823,A rejuvenated United played with a lot more fluency and looked like they'd run away with it when Ben Mee deflected in Jadon Sancho's shot (27) and Cristiano Ronaldo tapped in (35) after McTominay's strike had been pushed onto the bar
9824," He was involved in United's second, too, winning the ball back before feeding Sancho, who cut back on his right and fired for the far post, with Mee unintentionally clipping it past Hennessey"
9825,"Ronaldo passed up his second good chance of the half when he failed to get his shot away quickly enough, allowing Mee to block, but there was no way he was going to miss when McTominay's tipped shot came back off the bar and fell kindly for him to prod home"
9826,"Burnley, who had seen games against Watford, Aston Villa and Everton postponed due to COVID, were fired up to be back on the field in the early stages, with Wood going close before pinging a shot just off target from an offside position as the visitors pressed United frantically"
9827,"Up the other end, Marcos Alonso shot straight at De Gea before another flashpoint saw the ball kept alive by Victor Moses bounce off Ashley young's arm"
9828,"Up the other end, Marcos Alonso shot straight at De Gea before another flashpoint saw the ball kept alive by Victor Moses bounce off Ashley young's arm"
9829,"Nemanja Matic took late aim, harried by the tireless N'Golo Kante, before Pogba headed wide when Olivier Giroud slipped"
9830,Hazard calmly converted a 22nd-minute penalty after being brought down by Phil Jones and it proved decisive as the Blues avenged last year's defeat to Arsenal and ended a tumultuous campaign on a high note
9831,"Michael Oliver waved away a penalty appeal from Tiemoue Bakayoko, the Chelsea man tripping himself up despite dangerous pressure from Nemanja Matic, but when Hazard burst through on goal and Jones slid in desperately, Oliver pointed to the spot"
9832,"Judged to have made a genuine attempt to win the ball, Jones was reprieved under new rules with yellow rather than red, but Hazard served up further punishment as he held his nerve to slot low"
9833," Jones met a ball at the back post with shoulder rather than head, before Marcus Rashford shot weakly as United fans called for Romelu Lukaku"
9834,"Afforded ample space by the Blues' 3-5-2 system, Hazard frequently looked to spring central attacks - and brutually exposed Phil Jones in the pivotal minute"
9835, A sublime touch left Jones scrambling and the Belgian converted the spot-kick that followed with nonchalant ease
9836,"Nemanja Matic took late aim, harried by the tireless N'Golo Kante, before Pogba headed wide when Olivier Giroud slipped"
9837,"United, thwarted repeatedly on the edge of the area and too often forced sideways, toiled as Paul Pogba lashed wide and the wasteful Sanchez ballooned over from range"
9838,"Nemanja Matic took late aim, harried by the tireless N'Golo Kante, before Pogba headed wide when Olivier Giroud slipped"
9839," Jones met a ball at the back post with shoulder rather than head, before Marcus Rashford shot weakly as United fans called for Romelu Lukaku"
9840,Rashford forced Courtois into a double-handed punch and then palm clear as United returned with belated drive and the noise level raised in Wembley's West End
9841,"United, who had been forced to start Romelu Lukaku on the bench following injury, failed to have a shot on target in a disjointed first half but despite dominating after the break, were repeatedly denied by Chelsea goalkeeper Thibaut Courtois, as well as an offside flag when Alexis Sanchez thought he had struck back"
9842,"United, thwarted repeatedly on the edge of the area and too often forced sideways, toiled as Paul Pogba lashed wide and the wasteful Sanchez ballooned over from range"
9843,"United, who had been forced to start Romelu Lukaku on the bench following injury, failed to have a shot on target in a disjointed first half but despite dominating after the break, were repeatedly denied by Chelsea goalkeeper Thibaut Courtois, as well as an offside flag when Alexis Sanchez thought he had struck back"
9844," Jones met a ball at the back post with shoulder rather than head, before Marcus Rashford shot weakly as United fans called for Romelu Lukaku"
9845," Video technology cleared him of intent but Mourinho, sensing the need to maintain momentum, called for Lukaku and Anthony Martial"
9846," Video technology cleared him of intent but Mourinho, sensing the need to maintain momentum, called for Lukaku and Anthony Martial"
9847,"Gary Roberts was the next to go close, choosing an attempted lob after Jack Stephens met a long ball with a weak header when he might have been better going for power"
9848, Alex McCarthy was finally tested in the 42nd minute when a Max Power corner moved viciously in the wind and would have dipped under the bar but for a strong hand from the keeper
9849,Wigan pushed increasingly desperately for one final chance and Noel Hunt should have tested McCarthy but could not get enough on his header
9850,The visitors had the first opening when Walton dropped an 11th-minute free-kick at the feet of Guido Carrillo but the striker's lack of confidence showed as he poked the ball weakly back into the goalkeeper's arms
9851,Hojbjerg hooked in a 62nd-minute corner for his first Saints goal and Manolo Gabbiadini then had a 73rd-minute penalty brilliantly saved by Christian Walton before Soares added a second in stoppage-time
9852, A careless back pass from Byrne left Gabbiadini with only Walton to beat but the keeper produced a fine save to bail out his team-mate
9853,"Dan Burn's desperate lunge to stop Gabbiadini resulted in a penalty, but having struck the ball towards the corner, Walton flung himself to his left and pushed Gabbiadini's effort away"
9854,Chelsea took a while to get going but finally tested Kasper Schmeichel in the 27th minute
9855," Caballero pushed away a shot from Vardy at the far post before Schmeichel made two saves from Morata, palming away his initial shot before smothering the second effort"
9856, Kante's superb lofted ball into the area saw the Spaniard rise ahead of the oncoming Schmeichel to nod the ball into an empty net
9857, Vicente Iborra then had two bites of the cherry - one blocked and one saved by Willy Caballero - before Vardy finished off the rebounded through the arms of the Chelsea goalkeeper
9858,Chelsea edged into the FA Cup semi-finals on Sunday as they beat Leicester 2-1 thanks to a goal from Pedro in extra-time
9859,"It sent the game into 30 minutes of extra-time, and the game was meandering towards the end of the first period when Pedro (105) popped up to nod home N'Golo Kante's cross to send Chelsea into the semi-finals"
9860,"The first half of extra-time was a scrappy affair, but Pedro decided the tie with his goal in the 105th minute"
9861,"Carvalhal reacted by sending on Luciano Narsingh for Kyle Naughton at the break and they almost found a way back into the game through Martin Olsson then Tammy Abraham, but former Swansea goalkeeper Michel Vorm made a superb double stop to preserve his side's two-goal advantage"
9862,"Carvalhal reacted by sending on Luciano Narsingh for Kyle Naughton at the break and they almost found a way back into the game through Martin Olsson then Tammy Abraham, but former Swansea goalkeeper Michel Vorm made a superb double stop to preserve his side's two-goal advantage"
9863,"Carvalhal reacted by sending on Luciano Narsingh for Kyle Naughton at the break and they almost found a way back into the game through Martin Olsson then Tammy Abraham, but former Swansea goalkeeper Michel Vorm made a superb double stop to preserve his side's two-goal advantage"
9864,"Matic scored and assisted in a game for the first time since August 2014 for Chelsea against Everton as he was the unlikely creative lynchpin in an underwhelming showing from United's attacking trio of Juan Mata, Anthony Martial and Jesse Lingard"
9865, United created a couple of half chances as Anthony Martial and Juan Mata linked up but a tame shot drifted wide of the post and Chris Smalling hit a close-range effort off a post
9866,"Matic scored and assisted in a game for the first time since August 2014 for Chelsea against Everton as he was the unlikely creative lynchpin in an underwhelming showing from United's attacking trio of Juan Mata, Anthony Martial and Jesse Lingard"
9867,Matic swept a first-time cross towards the far post and Lukaku powered home a header past Tim Krul in the Brighton goal
9868,Locadia was Brighton's biggest threat and should have levelled on 67 minutes but his header at the back post from a Solly March cross flew wide
9869,"Following the international break, United take on Swansea City at Old Trafford on March 31 while Brighton host Leicester on the same day"
9870,"Wembley then descended into confusion as Kieran Trippier was fouled on the edge of the box by Matt Done, but after deliberation with the VAR, Tierney awarded a penalty, deeming that the foul continued inside the box"
9871,"Lamela hit the post with a late free-kick, but there was still time for Walker-Peters to grab his first Spurs goal in stoppage time, nudging under Lillis after a one-two with Dele Alli"
9872,"Son's close-range finish made it 5-1 with 25 minutes remaining, before substitute Kyle Walker-Peters added a sixth (90+3), with Spurs' reward a trip to Swansea on March 17"
9873,"Lamela hit the post with a late free-kick, but there was still time for Walker-Peters to grab his first Spurs goal in stoppage time, nudging under Lillis after a one-two with Dele Alli"
9874,"Lamela hit the post with a late free-kick, but there was still time for Walker-Peters to grab his first Spurs goal in stoppage time, nudging under Lillis after a one-two with Dele Alli"
9875,"Stephen Humphrys levelled for Rochdale (31), who hit the post before the break, but Spurs gained a three-goal cushion through Llorente's quick-fire hat-trick (47, 53, 59) after the break"
9876,"Rochdale then equalised moments later through Humphrys, converting from close range from Andy Cannon's fine ball as Spurs were caught sleeping, before Cannon himself hit the post with a low drive in first-half stoppage time"
9877,Jacob Butterfield's fierce strike from just inside the area was pushed away by Kristoffer Nordfeldt before Jordan Rhodes also forced a save from the Swansea stopper
9878,"Sung-Yueng Ki also went close six minutes before the break, but after being set up by Mike Van Der Hoorn across the top of the box, his effort just went wide of the post"
9879,"Swansea looked to be heading for the next round, and with ten minutes of normal time to play, Dyer made sure of it as he slotted the ball past Wednesday goalkeeper Cameron Dawson"
9880,"Swansea did leap into action at the other end as Tammy Abraham attempted to play Dyer into the area, but Wednesday goalkeeper Dawson raced off his line to collect ahead of the winger"
9881,The winger latched onto the pass before sweeping home past Dawson and sending Swansea into their first FA Cup quarter-final in 54 years
9882,Jacob Butterfield's fierce strike from just inside the area was pushed away by Kristoffer Nordfeldt before Jordan Rhodes also forced a save from the Swansea stopper
9883,"Five minutes later, Lucas Joao also saw his shot go straight into the hands of the goalkeeper"
9884,"Wigan threatened at the other end too, with Grigg shooting into the side-netting and Nick Powell seeing an effort blocked on the counter"
9885,"City otherwise dominated the match, having 29 shots and 83 per cent of the possession, despite Fabian Delph being controversially sent off at the end of the first half for a high tackle on Max Power"
9886,"But City were reduced to 10 men late in the first half when Delph slid in on Power, with the referee initially appearing set to book Delph, only to then issue a red card"
9887,Sergio Aguero headed a decent opportunity over in the third minute before Ilkay Gundogan saw a shot palmed away
9888,"Fernandinho wasted City's best opening of the half when he blazed over from the penalty spot, while Christian Walton denied Aguero in the 45th minute"
9889,Sergio Aguero headed a decent opportunity over in the third minute before Ilkay Gundogan saw a shot palmed away
9890,"Fernandinho wasted City's best opening of the half when he blazed over from the penalty spot, while Christian Walton denied Aguero in the 45th minute"
9891,And Wigan snatched a dramatic win in the 79th minute when Kyle Walker let a pass roll by him and Grigg pounced and finished brilliantly from the edge of the box
9892,Davies took a touch and fired past Michel Vorm at the far post to cap an excellent performance from the League One side which saw them take the lead just before the break before fighting back following Spurs' second-half recovery
9893,"Rochdale were good value for their half-time lead, with Henderson shooting straight at Vorm and then slicing horribly wide when well placed as Spurs, showing 11 changes to the side that drew with Juventus in midweek, struggled for fluency with only Moura looking bright"
9894,"Victor Wanyama then somehow contrived to lift the ball over from two yards at the far post, before Erik Lamela's deflected effort was headed off the line"
9895,"Up against the Spurs midfield three of Victor Wanyama, Harry Winks and Moussa Sissoko, Camps was integral to Rochdale's superb first-half performance as the League One side proved they could match Spurs' free-flowing football"
9896,"When the visitors did find their feet, Rochdale keeper Josh Lillis did well to save low down from Heung-Min Son, before the ineffective Fernando Llorente fired wide with the goal at his mercy"
9897,"Spurs improved after the break, and Lucas Moura marked his full debut with a fine finish on 59 to bring them level before Harry Kane (88) looked to have won it from the spot after Dele Alli was fouled in the box"
9898,"But with Alli and Kane introduced from the bench, Spurs upped the pressure and seemed to have done enough to secure their last-eight clash with Swansea or Sheffield Wednesday when Alli was felled by Harrison McGahey, allowing Kane to thump home the penalty"
9899, First Wayne Routledge's shot was blocked behind before substitute Jordan Ayew fired straight at Dawson
9900,"Saints could have gone two goals to the good, but were denied by a smart Ben Foster stop after Pierre-Emile Hojbjerg had steered the ball towards goal"
9901," The ball into him was pinpoint from Guido Carrillo, Tadic controlled, benefited from a fortunate bounce, before clipping the ball over the onrushing Foster into the net"
9902,"Alan Pardew handed starting berths to Jonny Evans and Gareth Barry, two of the players who were  this week, but Evans was stripped of the captain's armband"
9903, Gareth Barry was okay today but I thought Jonny was very good actually in the circumstances
9904,"James Ward-Prowse whipped a corner into the middle, two West Brom defenders missed it, and Hoedt was on hand, in acres of space, to steer a volley into the bottom corner"
9905,"James Ward-Prowse has had a hand in five goals in his last five appearances against West Brom in all competitions (three goals, two assists)"
9906,"With VAR in use, Mata thought he had made it 2-0 just before half-time when breaking in behind and finishing past Jonas Lossl"
9907,Lukaku had United in front early on when collecting Mata's pass and brushing off the attentions of Christopher Schindler
9908, Tom Ince and Florent Hadergjonaj caused problems and forced Sergio Romero into a couple of stops that he made look easier than they were
9909,"However, United maintained their ruthlessness in front of goal when Ashley Young found Mata, who slotted home from a tight angle"
9910,"Substitute Sam Baldock struck the woodwork in the final minute as Brighton, who have only reached the FA Cup final once in their history, saw out the win"
9911,"Josh Barrett shot narrowly wide in the 38th minute from a rare opening for Coventry, whose slim hopes of a comeback were dampened after half-time when Ulloa expertly headed in from Bruno's cross"
9912,Newport almost grabbed a late consolation in second-half injury-time but Padraig Amond was denied by Michel Vorm
9913, Newport nearly grabbed a late goal but Amond saw his shot saved by Vorm
9914,Fernando Llorente also twice missed the target from good positions inside the box and Dele Alli hit the bar after being played through
9915,The hosts had chances to extend their lead but Lamela was denied by Day and substitute Christian Eriksen shot wide after a slick passing move
9916,Fernando Llorente also twice missed the target from good positions inside the box and Dele Alli hit the bar after being played through
9917,"The goal lifted Spurs and, after Joe Day saved twice in quick succession, Lamela made it 2-0 when he scored his first goal since September 2016, sliding a shot in from Heung-Min Son's pass"
9918,The hosts had chances to extend their lead but Lamela was denied by Day and substitute Christian Eriksen shot wide after a slick passing move
9919, Dan Butler diverted Moussa Sissoko's cross into his own net in the 24th minute and Erik Lamela then scored his first goal since September 2016 to set up victory for Spurs
9920,"Although Spurs looked unsettled in the early stages, they soon got into the game and took the lead in the 26th minute in fortuitous fashion as Sissoko's cross deflected in off Butler"
9921,Newport almost grabbed a late consolation in second-half injury-time but Padraig Amond was denied by Michel Vorm
9922, Newport nearly grabbed a late goal but Amond saw his shot saved by Vorm
9923,"The Blues nearly doubled their lead after Antonio Rudiger bent a superb left-footed effort just wide of the post, but the hosts nearly gifted Newcastle an equaliser after Danny Drinkwater was caught in possession but Shelvey's shot was easily saved by Caballero"
9924,Shelvey forced Caballero into another smart save while there was still time for Chancel Mbemba to stretch the Argentine into another stop from close range before the break
9925," Haidara was caught in possession and with Ciaran Clark stranded upfield, Hazard was able to tee up Batshuayi for a second - albeit via a heavy deflection off Jamaal Lascelles"
9926," Haidara was caught in possession and with Ciaran Clark stranded upfield, Hazard was able to tee up Batshuayi for a second - albeit via a heavy deflection off Jamaal Lascelles"
9927,"Chelsea blooded youth in the second period as Callum Hudson-Odoi and Kyle Scott entered the fray, but the visitors restored some pride with an improved display that was very nearly capped by a consolation six minutes after the restart"
9928,David Meyler missed a second-half penalty for Nigel Adkins' side as Chelsea cruised into the next round ahead of next week's Champions League showdown with Barcelona
9929,"Fabregas was late on Harry Wilson, and referee Andre Marriner had no hesitation in pointing to the spot, but Blues 'keeper Willy Caballero denied Meyler with a comfortable save to his right to keep his clean sheet intact"
9930,Hull made the worst possible start as Kevin Stewart was dispossessed by Giroud in the second minute before Willian used the Frenchman as a decoy as he bent his left-footed shot into David Marshall's bottom right corner
9931,"Stewart failed to intercept Willian's attempted flick and, after Giroud worked the ball back into his path, the Brazilian curled a shot beyond the hapless Marshall via the left-hand post"
9932,"However, the game ended on a slightly sour note when Bennett - who was lucky not to have been sent off just before half-time for a lunging challenge on Leroy Sane that ended the German's afternoon - picked up his second booking of the contest for a late tackle on City substitute Brahim Diaz"
9933,"Cardiff seemed content to settle for a 2-0 defeat, with the closest the home team coming to scoring being Hoilett's rasping drive midway through the second half that beat Bravo but flew inches over the bar"
9934,"However, the game ended on a slightly sour note when Bennett - who was lucky not to have been sent off just before half-time for a lunging challenge on Leroy Sane that ended the German's afternoon - picked up his second booking of the contest for a late tackle on City substitute Brahim Diaz"
9935,"Former West Ham forward Frank Nouble - the only Newport player with Premier League experience - missed a great chance to open the scoring after just four minutes, only for the forward to blaze horribly over the bar with just Michel Vorm to beat"
9936,"And the midfielder's curling cross from the right edge of the area was then headed home by Amond, who rose high above Kieran Trippier at the far post to send Rodney Parade into raptures"
9937,"Tottenham were desperate in the first half, failing to have a shot on target before the break, with the closest Mauricio Pochettino's team coming to finding the back of the net was when Kane hit the outside of a post three minutes before the interval after good work by Moussa Sissoko"
9938,"However, Kane was on hand to spare Tottenham's blushes with an 82nd-minute equaliser, the striker's 12th goal in just his last seven matches"
9939,"Tottenham were desperate in the first half, failing to have a shot on target before the break, with the closest Mauricio Pochettino's team coming to finding the back of the net was when Kane hit the outside of a post three minutes before the interval after good work by Moussa Sissoko"
9940,"However, Spurs improved markedly in the second period, helped by the half-time introduction of Heung-Min Son in place of right-back Kyle Walker-Peters, and Kane really should have equalised just before the hour-mark"
9941,"Day also had to be alert to deny Son midway through the second period as the Tottenham pressure increased, although the 'keeper was helpless to prevent Kane levelling matters eight minutes from time"
9942,"A left-wing corner was flicked on at the near post by Son, with Kane there in the right place at the right time to tap in from virtually on the goal line for his 30th strike of the campaign"
9943,"Liverpool's defensive frailties were highlighted once more just minutes later as Dawson beat Firmino to the ball and headed home from a corner, but referee Pawson went to VAR and correctly found that Barry was in an offside position and interfering with Simon Mignolet"
9944,"It was 3-1 to West Brom in first-half stoppage time as Joel Matip inadvertently turned home Dawson's angled effort (45+2), and though Salah halved the deficit with a low finish with 12 minutes remaining, Liverpool could not force a replay"
9945,"Liverpool's defence then allowed Dawson to turn an effort goalwards before the break, with Matip making a hash of his clearance as the ball fell into the far corner"
9946,"It was 3-1 to West Brom in first-half stoppage time as Joel Matip inadvertently turned home Dawson's angled effort (45+2), and though Salah halved the deficit with a low finish with 12 minutes remaining, Liverpool could not force a replay"
9947,"Salah made it 3-2 with a fine low finish after Firmino had laid the ball off from 15 yards to the right of the penalty area, but Liverpool could not make their pressure tell in the closing stages"
9948,"Jurgen Klopp made a triple change on 65 minutes in an attempt to save the game, bringing on Danny Ings, Jordan Henderson and James Milner, and it was Ings who was soon forcing Foster into a good save with an effort from 15 yards"
9949,"Jurgen Klopp made a triple change on 65 minutes in an attempt to save the game, bringing on Danny Ings, Jordan Henderson and James Milner, and it was Ings who was soon forcing Foster into a good save with an effort from 15 yards"
9950,"Craig Dawson's header was correctly ruled out for a Gareth Barry offside at one end, before Liverpool were awarded a penalty for Grzegorz Krychowiak's tug on Mo Salah, with Craig Pawson going to the pitch-side VAR screen for the first time in English football"
9951,"Liverpool's defensive frailties were highlighted once more just minutes later as Dawson beat Firmino to the ball and headed home from a corner, but referee Pawson went to VAR and correctly found that Barry was in an offside position and interfering with Simon Mignolet"
9952,"Krysiak denied Rashford a second late on with a fine blocked save with his feet from six yards, while 17-year-old Angel Gomes nearly scored instantly after coming on, hitting the side-netting after a mazy run"
9953,"Yeovil started on the front foot and were nearly ahead early on through Jordan Green, but Sergio Romero beat away his left-footed effort from an angle 12 yards out, while Omar Sowunmi headed straight at Romero unmarked in the box from a free-kick"
9954,"After Sanchez's through ball ran through to the goalkeeper as Tom James looked to usher Rashford out, both Yeovil players left the ball for each other and invited the England forward to swoop in to poke into the net"
9955,"Yeovil started on the front foot and were nearly ahead early on through Jordan Green, but Sergio Romero beat away his left-footed effort from an angle 12 yards out, while Omar Sowunmi headed straight at Romero unmarked in the box from a free-kick"
9956,"Scott McTominay saw a low effort turned away by Artur Krysiak, but the Polish goalkeeper was then involved in a defensive mix-up as United were gifted a 41st-minute lead"
9957,"Marcus Rashford, Ander Herrera, Jesse Lingard and Romelu Lukaku gave Manchester United a 4-0 win at Yeovil in the FA Cup fourth round on Friday night as Alexis Sanchez made his debut"
9958,"It was 3-0 in the 89th minute through another sub Lingard, who found the bottom left corner brilliantly from 15 yards on the right after a solo run into the box, and Lukaku scored the fourth from close range, tapping home from Marcos Rojo's cross as Yeovil left men upfield"
9959,"Marcus Rashford, Ander Herrera, Jesse Lingard and Romelu Lukaku gave Manchester United a 4-0 win at Yeovil in the FA Cup fourth round on Friday night as Alexis Sanchez made his debut"
9960, Angus Gunn then tipped a dipping strike from Drinkwater onto the bar
9961,"Both sides hit the bar in the first half before Michy Batshuayi broke the deadlock in the 55th minute, scoring Chelsea's first goal in nearly six hours"
9962,"However, Norwich grew into the game and Oliveira also hit the bar after a terrible backpass from Batshuayi"
9963,The deadlock was eventually broken in the 55th minute when Batshuayi finished from Kenedy's low cross
9964,Chelsea advanced into the fourth round of the FA Cup after an incident-filled penalty shoot-out win over Norwich that saw both Pedro and Alvaro Morata sent off and confusion over the Video Assistant Referee system
9965,A frenetic period of extra-time saw both Pedro and substitute Morata sent off - with both players booked for diving - and uncertainty over the VAR system as Chelsea had several penalty appeals turned down by referee Graham Scott and seemingly not referred
9966,Gunn saved twice in quick succession from Willian and Morata before Pedro was sent off for a second booking
9967,Chelsea advanced into the fourth round of the FA Cup after an incident-filled penalty shoot-out win over Norwich that saw both Pedro and Alvaro Morata sent off and confusion over the Video Assistant Referee system
9968,A frenetic period of extra-time saw both Pedro and substitute Morata sent off - with both players booked for diving - and uncertainty over the VAR system as Chelsea had several penalty appeals turned down by referee Graham Scott and seemingly not referred
9969,"Norwich hit the post through Murphy and saw Maddison brilliantly denied by Caballero, but, after Morata went close to scoring a second for Chelsea, the visitors levelled deep into injury-time when Lewis glanced in a header from Klose's left-wing cross"
9970,Gunn saved twice in quick succession from Willian and Morata before Pedro was sent off for a second booking
9971,"Morata followed him down in the tunnel late in extra-time after being booked for diving in the area and then protesting the decision, with the referee again not seemingly going to the VAR for the incident"
9972,"However, after Josh Murphy struck the post and Willy Caballero denied James Maddison, Norwich levelled deep into injury-time when Jamal Lewis headed in from Timm Klose's cross"
9973,"Norwich hit the post through Murphy and saw Maddison brilliantly denied by Caballero, but, after Morata went close to scoring a second for Chelsea, the visitors levelled deep into injury-time when Lewis glanced in a header from Klose's left-wing cross"
9974,"However, Norwich grew into the game and Oliveira also hit the bar after a terrible backpass from Batshuayi"
9975,"Despite finishing the game with nine men, Chelsea held their nerve in the shoot-out as Caballero saved Norwich's first attempt from Oliveira and the hosts all scored five of their penalties to advance"
9976,"With a number of first-team regulars rested from the start, the Hammers produced a lacklustre display and were fortunate not to fall behind in the 64th minute when Stefan Payne was denied by Joe Hart"
9977,"Hammers goalkeeper Joe Hart had described his side's performance as ""terrible"" after the 0-0 draw at Shrewsbury just over a week ago, and they again struggled to impose themselves at the London Stadium"
9978,"Shrewsbury rarely threatened themselves before the break, but could have taken the lead in the second half as Payne saw a one-on-one chance saved by Hart"
9979,"Substitute Marko Arnautovic went close and Aristote Nsiala and James Bolton both cleared off the line in extra-time before Reece Burke eventually broke Shrewsbury's resistance in the 112th minute to set up a fourth-round tie against Bournemouth or Wigan, who meet in a replay on Wednesday"
9980,"Arnautovic twice went close after his introduction but failed to hit the target on either occasion, and Nsiala almost won it for the Shrews when he headed over from a corner in injury-time"
9981,"With a number of first-team regulars rested from the start, the Hammers produced a lacklustre display and were fortunate not to fall behind in the 64th minute when Stefan Payne was denied by Joe Hart"
9982,"Shrewsbury rarely threatened themselves before the break, but could have taken the lead in the second half as Payne saw a one-on-one chance saved by Hart"
9983,"Substitute Marko Arnautovic went close and Aristote Nsiala and James Bolton both cleared off the line in extra-time before Reece Burke eventually broke Shrewsbury's resistance in the 112th minute to set up a fourth-round tie against Bournemouth or Wigan, who meet in a replay on Wednesday"
9984,Nsiala and Bolton both then cleared off the line in extra-time as Shrewsbury were finally forced on to the back foot
9985,"In the 33rd minute, Mahrez grazed the outside of the post but it wasn't long before Leicester had the lead with Islam Slimani flicking the ball on for Iheanacho, who slid the ball under the onrushing Neal"
9986,Slimani might have extended the lead at the start of the second half but he snatched at his chance and put the ball wide
9987,"Jamie Vardy came on as a substitute against his former club with 10 minutes remaining, bringing applause from both sets of supporters as Leicester comfortably saw out the tie to progress to the next round"
9988,Leicester were not having things all their own way against the League One side and Eldin Jakupovic was forced into smart saves to deny Conor McAleny and Kyle Dempsey
9989,"Brighton made eight changes to the side that drew with Bournemouth in their last Premier League outing, but they were forced into an early substitution as Izzy Brown jarred his knee in a challenge with Jeffrey Schlupp"
9990, And the visitors were rewarded as Sako wriggled free from Davy Propper to fire an unstoppable shot in off the post with 21 minutes remaining
9991,Brighton came close to regaining their lead as Sam Baldock struck the post from Solly March's cross before Beram Kayal blazed over when well placed on the edge of the box
9992,Brighton booked their place in the FA Cup fourth round after substitute Glenn Murray scored a contentious winner in the first game a video assistant referee was used in a competitive match in English football
9993,Referee Andre Marriner did not see the need to refer to VAR as Murray steered the ball in from close range despite Palace's calls for handball (87) after Bakary Sako (69) had cancelled out Dale Stephens' first-half opener (25)
9994,"It appeared as though both sides faced the prospect of an unwanted replay, but substitute Murray came on to sink his former club as he was on hand to guide Uwe Hunemeier's header back across goal into the net"
9995,The former Charlton midfielder collected Ezequiel Schelotto pass on the right and glided beyond Cabaye before firing past Wayne Hennessey at his near post with no sign of a Palace challenge
9996,"Brighton made eight changes to the side that drew with Bournemouth in their last Premier League outing, but they were forced into an early substitution as Izzy Brown jarred his knee in a challenge with Jeffrey Schlupp"
9997,"Schlupp was also forced off in an uneventful opening, but it was Chris Hughton's side who deservedly took advantage of Palace's lack of ambition going forward as captain Stephens fired the hosts ahead"
9998,"Palace, who were without Wilfried Zaha and Christian Benteke, had lacked an attacking threat, but Roy Hodgson brought on Sullay Kaikai for Andros Townsend at the interval to provide Sako with greater support"
9999,"Palace, who were without Wilfried Zaha and Christian Benteke, had lacked an attacking threat, but Roy Hodgson brought on Sullay Kaikai for Andros Townsend at the interval to provide Sako with greater support"
10000,"Leeds were knocked out of the FA Cup by non-league Sutton United last season and they looked keen to avoid a repeat performance as Berardi handed them lead after nine minutes, with a long-range strike that swerved and deceived Joe Day in goal"
10001,"Newport, thrashed 5-1 by Leeds in the Carabao Cup meeting between the two clubs in August, responded well to going behind with Joss Labadie forcing Berardi into a goal-line clearance shortly after they had gone behind"
10002,The hosts continued to carry the greater attacking threat after the restart and deservedly drew level late on as Shaughnessy volleyed beyond Andy Lonergan in goal after former England youth international Franck Nouble had flashed a dangerous cross into the six-yard-box
